Timestamp,Date,Accessory,Shoes,Outerwear,Full Body,Bottom,Top,Top2,Accessory2,Accessory3,Accessory4,Note
12/21/2022 20:27:23,12/19/2022,10 Athleta Beanie - Tan,75 Adidas Tennis Shoe - Black,84 Hollister Puffer - Green,,24 Aerie Leggings - Green,16 Aerie Sports Bra - Green,50 Glossier Crewneck Sweater - Gray,85 Ubc Tote Bag - Green,,,
12/21/2022 20:28:00,12/20/2022,10 Athleta Beanie - Tan,75 Adidas Tennis Shoe - Black,84 Hollister Puffer - Green,,24 Aerie Leggings - Green,16 Aerie Sports Bra - Green,50 Glossier Crewneck Sweater - Gray,85 Ubc Tote Bag - Green,,,
12/21/2022 20:28:30,12/21/2022,10 Athleta Beanie - Tan,75 Adidas Tennis Shoe - Black,84 Hollister Puffer - Green,,26 Aerie Leggings - Black,17 Aerie Sports Bra - Black,50 Glossier Crewneck Sweater - Gray,85 Ubc Tote Bag - Green,,,
12/21/2022 20:30:40,12/22/2022,85 Ubc Tote Bag - Green,9 Blondo Boots - Black,84 Hollister Puffer - Green,,3 Aerie Jeans - Blue,2 Plisse  Tank - Black,,81 No Brand Gold Hoops - Gold,,,
12/21/2022 20:33:50,12/23/2022,82 No Brand Christmas Tree Hoops - Gold,9 Blondo Boots - Black,84 Hollister Puffer - Green,57 American Eagle Maxi Dress - Green,,6 Express Body Suit - White,46 No Brand Vest - White,,,,
